Model ID,Performance,Performance Bin,Length Width Ratio,Length Width Bin,Display Ratio,Display Ratio Bin
1,0.0,Low Performance,0.3214717803682292,Horizantal Screen,0.0,Horizantal Display
2,0.016687564999999998,Low Performance,0.35458210292874454,Horizantal Screen,0.8367347021253644,Horizantal Display
3,0.008598662666666666,Low Performance,0.34115943637007823,Horizantal Screen,0.4183673510626822,Horizantal Display
4,0.016768947666666666,Low Performance,0.35458210292874454,Horizantal Screen,0.8367347021253644,Horizantal Display
5,0.022363745666666667,Low Performance,0.34115943637007823,Horizantal Screen,0.4110275649796861,Horizantal Display
6,0.03571099233333334,Low Performance,0.35458210292874454,Horizantal Screen,0.47001763615000985,Horizantal Display
7,0.03571099233333334,Low Performance,0.35458210292874454,Horizantal Screen,0.47001763615000985,Horizantal Display
8,0.053538890666666665,Low Performance,1.8838316270848765,Vertical Screen,2.6496598724922253,Vertical Display
9,0.053538890666666665,Low Performance,1.8838316270848765,Vertical Screen,2.6496598724922253,Vertical Display
10,0.035873757666666665,Low Performance,0.35458210292874454,Horizantal Screen,0.47001763615000985,Horizantal Display
11,0.035873757666666665,Low Performance,0.35458210292874454,Horizantal Screen,0.47001763615000985,Horizantal Display
12,0.050954425000000005,Low Performance,2.435499297073426,Vertical Screen,2.510204088804665,Vertical Display
13,0.05111719033333334,Low Performance,2.435499297073426,Vertical Screen,2.510204088804665,Vertical Display
14,0.037059941000000006,Low Performance,0.47487465422929054,Horizantal Screen,1.812925170366861,Vertical Display
15,0.05111719033333334,Low Performance,2.435499297073426,Vertical Screen,2.510204088804665,Vertical Display
16,0.035873757666666665,Low Performance,0.35458210292874454,Horizantal Screen,0.47001763615000985,Horizantal Display
17,0.035873757666666665,Low Performance,0.3162208804658341,Horizantal Screen,0.47001763615000985,Horizantal Display
18,0.051198573000000004,Low Performance,2.435499297073426,Vertical Screen,2.510204088804665,Vertical Display
19,0.02369000166666667,Low Performance,1.4113213748663531,Vertical Screen,2.603174572587302,Vertical Display
20,0.023751045,Low Performance,1.4113213748663531,Vertical Screen,2.603174572587302,Vertical Display
21,0.032268421666666665,Low Performance,0.13531974631032895,Horizantal Screen,0.37962962832201647,Horizantal Display
22,0.037222706333333334,Low Performance,0.47487465422929054,Horizantal Screen,1.812925170366861,Vertical Display
23,0.022607893666666667,Low Performance,0.34115943637007823,Horizantal Screen,0.4110275649796861,Horizantal Display
24,0.02244512833333333,Low Performance,0.25121380075032124,Horizantal Screen,1.1156462519290573,Vertical Display
27,0.042217032666666675,Low Performance,0.3825411685988662,Horizantal Screen,0.47001763615000985,Horizantal Display
25,0.042217032666666675,Low Performance,0.3825411685988662,Horizantal Screen,0.47001763615000985,Horizantal Display
26,0.041891502000000004,Low Performance,0.3825411685988662,Horizantal Screen,0.47001763615000985,Horizantal Display
28,0.036199288333333336,Low Performance,0.35458210292874454,Horizantal Screen,0.47001763615000985,Horizantal Display
29,0.040057332,Low Performance,0.41005496860526197,Horizantal Screen,0.6679197971380425,Horizantal Display
30,0.047825021333333335,Low Performance,0.37321110533141405,Horizantal Screen,0.47001763615000985,Horizantal Display
31,0.041550061666666666,Low Performance,0.3833122531668721,Horizantal Screen,0.6679197971380425,Horizantal Display
32,0.05211366933333334,Low Performance,1.2127097229794217,Vertical Screen,0.924812029296399,Horizantal Display
33,0.101721302,Low Performance,2.159363039201448,Vertical Screen,2.4848484909476585,Vertical Display
34,0.023751045,Low Performance,1.4113213748663531,Vertical Screen,2.603174572587302,Vertical Display
35,0.023832427666666666,Low Performance,1.4113213748663531,Vertical Screen,2.603174572587302,Vertical Display
36,0.041550061666666666,Low Performance,0.3833122531668721,Horizantal Screen,0.6679197971380425,Horizantal Display
37,0.04847608266666667,Low Performance,0.37321110533141405,Horizantal Screen,0.47001763615000985,Horizantal Display
41,0.038604816666666666,Low Performance,0.37666065100814433,Horizantal Screen,0.47001763615000985,Horizantal Display
40,0.037953755,Low Performance,0.37666065100814433,Horizantal Screen,0.47001763615000985,Horizantal Display
38,0.041550061666666666,Low Performance,0.3833122531668721,Horizantal Screen,0.6679197971380425,Horizantal Display
39,0.04553597733333333,Low Performance,0.3825411685988662,Horizantal Screen,0.47001763615000985,Horizantal Display
42,0.023832427666666666,Low Performance,1.4113213748663531,Vertical Screen,2.603174572587302,Vertical Display
43,0.023995192999999998,Low Performance,1.4113213748663531,Vertical Screen,2.603174572587302,Vertical Display
44,0.040382862666666665,Low Performance,0.4232578446440808,Horizantal Screen,0.6679197971380425,Horizantal Display
45,0.04102715666666667,Low Performance,0.4174879892912021,Horizantal Screen,0.6679197971380425,Horizantal Display
47,0.049339241,Low Performance,0.4817067337822837,Horizantal Screen,0.47001763615000985,Horizantal Display
48,0.051943487,Low Performance,0.4817067337822837,Horizantal Screen,0.47001763615000985,Horizantal Display
46,0.04187559233333333,Low Performance,0.3833122531668721,Horizantal Screen,0.6679197971380425,Horizantal Display
51,0.032268421666666665,Low Performance,0.13531974631032895,Horizantal Screen,0.37962962832201647,Horizantal Display
50,0.040382862666666665,Low Performance,0.41005496860526197,Horizantal Screen,0.6679197971380425,Horizantal Display
49,0.05118126833333334,Low Performance,0.5908337509318262,Horizantal Screen,0.6507936518059966,Horizantal Display
52,0.10220959833333333,Low Performance,2.159363039201448,Vertical Screen,2.4848484909476585,Vertical Display
53,0.041550061666666666,Low Performance,0.3833122531668721,Horizantal Screen,0.6679197971380425,Horizantal Display
54,0.04887083133333334,Low Performance,0.4730863553129308,Horizantal Screen,0.47001763615000985,Horizantal Display
55,0.044535521333333335,Low Performance,0.4616824851770271,Horizantal Screen,0.47001763615000985,Horizantal Display
56,0.04847608266666667,Low Performance,0.37321110533141405,Horizantal Screen,0.47001763615000985,Horizantal Display
57,0.05350780833333333,Low Performance,0.6507784200969635,Horizantal Screen,0.47001763615000985,Horizantal Display
58,0.023995192999999998,Low Performance,1.4113213748663531,Vertical Screen,2.603174572587302,Vertical Display
59,0.023995192999999998,Low Performance,1.8347177883101515,Vertical Screen,2.603174572587302,Vertical Display
