Model ID,Performance,Performance Bin,Length Width Ratio,Length Width Bin,Display Ratio,Display Ratio Bin
1,0.0,Low Performance,0.3214717803682290,Horizantal Screen,0.0,Horizantal Display
2,0.016687565000000000,Low Performance,0.35458210292874500,Horizantal Screen,0.8367347021253640,Horizantal Display
3,0.008598662666666670,Low Performance,0.34115943637007800,Horizantal Screen,0.4183673510626820,Horizantal Display
4,0.016768947666666700,Low Performance,0.35458210292874500,Horizantal Screen,0.8367347021253640,Horizantal Display
5,0.022363745666666700,Low Performance,0.34115943637007800,Horizantal Screen,0.4110275649796860,Horizantal Display
6,0.03571099233333330,Low Performance,0.35458210292874500,Horizantal Screen,0.47001763615001000,Horizantal Display
7,0.03571099233333330,Low Performance,0.35458210292874500,Horizantal Screen,0.47001763615001000,Horizantal Display
10,0.035873757666666700,Low Performance,0.35458210292874500,Horizantal Screen,0.47001763615001000,Horizantal Display
11,0.035873757666666700,Low Performance,0.35458210292874500,Horizantal Screen,0.47001763615001000,Horizantal Display
14,0.037059941000000000,Low Performance,0.47487465422929100,Horizantal Screen,1.812925170366860,Vertical Display
16,0.035873757666666700,Low Performance,0.35458210292874500,Horizantal Screen,0.47001763615001000,Horizantal Display
17,0.035873757666666700,Low Performance,0.3162208804658340,Horizantal Screen,0.47001763615001000,Horizantal Display
21,0.032268421666666700,Low Performance,0.13531974631032900,Horizantal Screen,0.37962962832201600,Horizantal Display
22,0.037222706333333300,Low Performance,0.47487465422929100,Horizantal Screen,1.812925170366860,Vertical Display
23,0.022607893666666700,Low Performance,0.34115943637007800,Horizantal Screen,0.4110275649796860,Horizantal Display
24,0.02244512833333330,Low Performance,0.25121380075032100,Horizantal Screen,1.1156462519290600,Vertical Display
27,0.042217032666666700,Low Performance,0.3825411685988660,Horizantal Screen,0.47001763615001000,Horizantal Display
25,0.042217032666666700,Low Performance,0.3825411685988660,Horizantal Screen,0.47001763615001000,Horizantal Display
26,0.041891502000000000,Low Performance,0.3825411685988660,Horizantal Screen,0.47001763615001000,Horizantal Display
28,0.036199288333333300,Low Performance,0.35458210292874500,Horizantal Screen,0.47001763615001000,Horizantal Display
29,0.040057332,Low Performance,0.41005496860526200,Horizantal Screen,0.6679197971380430,Horizantal Display
30,0.047825021333333300,Low Performance,0.37321110533141400,Horizantal Screen,0.47001763615001000,Horizantal Display
31,0.041550061666666700,Low Performance,0.3833122531668720,Horizantal Screen,0.6679197971380430,Horizantal Display
36,0.041550061666666700,Low Performance,0.3833122531668720,Horizantal Screen,0.6679197971380430,Horizantal Display
37,0.04847608266666670,Low Performance,0.37321110533141400,Horizantal Screen,0.47001763615001000,Horizantal Display
